sample_id,pose_detected,movement_score,lstm_behavior,behavior_confidence,Inactive_probability,Low_Movement_probability,Normal_Movement_probability,Restless_Movement_probability,Sudden_Movement_probability
2800,1,0.013869659,Inactive,0.922173977,0.922173977,0.040635999,0.036885999,0.000144,0.00016
2801,1,0.006727762,Inactive,0.908990026,0.908990026,0.043729998,0.046875,0.000189,0.000217
2802,1,0.01533806,Inactive,0.89063102,0.89063102,0.050691001,0.058129001,0.000253,0.000297
2803,1,0.010075943,Inactive,0.878588974,0.878588974,0.0572,0.063566998,0.000293,0.000352
2804,1,0.04708266,Inactive,0.874779999,0.874779999,0.059232,0.065315001,0.000305,0.000369
2805,1,0.137294158,Inactive,0.866235018,0.866235018,0.065417998,0.067617998,0.000331,0.000398
2806,1,0.035886228,Inactive,0.873601973,0.873601973,0.061979,0.063748002,0.000303,0.000369
2807,1,0.019591338,Inactive,0.881913006,0.881913006,0.058555,0.058906998,0.000278,0.000347
2808,1,0.120791422,Inactive,0.86729598,0.86729598,0.073784001,0.058251999,0.000303,0.000364
2809,1,0.110066436,Inactive,0.874876022,0.874876022,0.091043003,0.033603001,0.000238,0.000239
2810,1,0.077609288,Inactive,0.865805984,0.865805984,0.111060999,0.022752,0.000206,0.000175
2811,1,0.051712035,Inactive,0.862857997,0.862857997,0.089899004,0.046571001,0.00032,0.000352
2812,1,0.015936236,Inactive,0.857349992,0.857349992,0.094104998,0.047775,0.000363,0.000407
2813,1,0.031655287,Inactive,0.869592011,0.869592011,0.084563002,0.045074999,0.000363,0.000406
2814,1,0.026715411,Inactive,0.878386021,0.878386021,0.084905997,0.036026999,0.000328,0.000353
2815,1,0.087913092,Inactive,0.894481003,0.894481003,0.078501999,0.026539,0.000239,0.00024
2816,1,0.013297538,Inactive,0.913442016,0.913442016,0.067257002,0.018988,0.000163,0.00015
2817,1,0.018150422,Inactive,0.925450027,0.925450027,0.05889,0.015419,0.00013,0.000111
2818,1,0.024009772,Inactive,0.92018801,0.92018801,0.065002002,0.014561,0.000135,0.000114
2819,1,0.031228566,Inactive,0.910817981,0.910817981,0.074772999,0.014136,0.000149,0.000123
2820,1,0.013212951,Inactive,0.898586988,0.898586988,0.087536998,0.013581,0.000162,0.000133
2821,1,0.0269002,Inactive,0.889312029,0.889312029,0.097000003,0.013374,0.000173,0.000141
2822,1,0.032842079,Inactive,0.889060974,0.889060974,0.097395003,0.013229,0.000174,0.000141
2823,1,0.036921804,Inactive,0.902180016,0.902180016,0.084701002,0.012831,0.000161,0.000128
2824,1,0.011476988,Inactive,0.89794898,0.89794898,0.089097999,0.012659,0.000164,0.00013
2825,1,0.008571734,Inactive,0.900425017,0.900425017,0.086801,0.012486,0.000161,0.000128
2826,1,0.018494634,Inactive,0.898342013,0.898342013,0.088904001,0.012461,0.000163,0.00013
2827,1,0.010946234,Inactive,0.897602975,0.897602975,0.089734003,0.012372,0.000162,0.000129
2828,1,0.015071958,Inactive,0.896812022,0.896812022,0.090539999,0.012357,0.000162,0.000129
2829,1,0.025890197,Inactive,0.892574012,0.892574012,0.094696999,0.01243,0.000165,0.000133
2830,1,0.014506004,Inactive,0.884446025,0.884446025,0.102835,0.012411,0.000169,0.000138
2831,1,0.013019701,Inactive,0.860167027,0.860167027,0.126647994,0.01284,0.000191,0.000153
2832,1,0.010510172,Inactive,0.821053982,0.821053982,0.164114997,0.014443,0.000218,0.00017
2833,1,0.037541084,Inactive,0.789662004,0.789662004,0.191722006,0.018131001,0.000264,0.000221
2834,1,0.016888387,Inactive,0.778434992,0.778434992,0.201739997,0.019254999,0.000312,0.000258
2835,1,0.01060234,Inactive,0.79411,0.79411,0.187337995,0.018089,0.000249,0.000215
2836,1,0.014645503,Inactive,0.792576015,0.792576015,0.188510999,0.018433001,0.000258,0.000223
2837,1,0.037234895,Inactive,0.789352,0.789352,0.190981001,0.019144,0.00028,0.000243
2838,1,0.025076639,Inactive,0.787313998,0.787313998,0.192836002,0.019307001,0.000291,0.000252
2839,1,0.054589162,Inactive,0.792033017,0.792033017,0.188838005,0.018639,0.000261,0.000229
2840,1,0.039896397,Inactive,0.799627006,0.799627006,0.181926996,0.018000999,0.000236,0.000209
2841,1,0.023219998,Inactive,0.807114005,0.807114005,0.175138995,0.017344,0.000213,0.00019
2842,1,0.020416551,Inactive,0.812156975,0.812156975,0.170536995,0.016929001,0.000198,0.000179
2843,1,0.098599044,Inactive,0.813579023,0.813579023,0.168841004,0.017213,0.000191,0.000176
2844,1,0.026309089,Inactive,0.825591028,0.825591028,0.157097995,0.016969001,0.000177,0.000164
2845,1,0.081056649,Inactive,0.881785989,0.881785989,0.103292003,0.014685,0.00012,0.000117
2846,1,0.04670073,Inactive,0.865321994,0.865321994,0.119237997,0.015185,0.00013,0.000125
2847,1,0.034776254,Inactive,0.848106027,0.848106027,0.136133999,0.015483,0.000142,0.000135
2848,1,0.037190435,Inactive,0.840349972,0.840349972,0.143455997,0.015892001,0.000154,0.000148
2849,1,0.034624314,Inactive,0.855144024,0.855144024,0.129126996,0.015439,0.000147,0.000143
2850,1,0.039739004,Inactive,0.855674982,0.855674982,0.128583997,0.015443,0.00015,0.000147
2851,1,0.056220866,Inactive,0.849600971,0.849600971,0.134570003,0.015523,0.000155,0.00015
2852,1,0.018953887,Inactive,0.824083984,0.824083984,0.159280002,0.016301,0.000171,0.000164
2853,1,0.035600205,Inactive,0.844303012,0.844303012,0.140352994,0.015062,0.000144,0.000138
2854,1,0.029437331,Inactive,0.833799005,0.833799005,0.150854006,0.015063,0.000146,0.000139
2855,1,0.078864598,Inactive,0.81053102,0.81053102,0.173694,0.015473,0.000155,0.000146
2856,1,0.047499313,Inactive,0.780743003,0.780743003,0.202816993,0.016121,0.000167,0.000153
2857,1,0.045464546,Inactive,0.731042981,0.731042981,0.251107991,0.017480999,0.000193,0.000175
2858,1,0.016092338,Inactive,0.696949005,0.696949005,0.284696996,0.017963,0.000207,0.000185
2859,1,0.028417139,Inactive,0.728025019,0.728025019,0.254940987,0.016706999,0.000174,0.000153
