sample_id,detected_class,baby_detected,empty_seat_detected,baby_count,confidence,bbox_width,bbox_height,bbox_area
9004,empty_seat,0,1,0,0.7309,367.61,314.16,115488.42
9005,empty_seat,0,1,0,0.7296,382.39,313.5,119879.73
9006,empty_seat,0,1,0,0.717,368.72,312.02,115046.16
9007,empty_seat,0,1,0,0.7455,365.9,315.55,115459.69
9008,empty_seat,0,1,0,0.7121,364.53,308.48,112451.45
9009,empty_seat,0,1,0,0.7675,355.97,309.73,110252.27
9010,empty_seat,0,1,0,0.7225,363.37,312.1,113408.07
9011,empty_seat,0,1,0,0.7493,371.14,316.26,117375.13
9012,empty_seat,0,1,0,0.7289,370.89,314.1,116496.33
9013,empty_seat,0,1,0,0.6583,376.71,305.83,115210.25
9014,empty_seat,0,1,0,0.7321,359.55,312.55,112375.65
9015,empty_seat,0,1,0,0.734,367.81,312.79,115045.55
9016,empty_seat,0,1,0,0.7677,365.27,315.21,115137.51
9017,empty_seat,0,1,0,0.752,372.37,311.14,115857.86
9018,empty_seat,0,1,0,0.7248,352.19,308.76,108742.37
9019,empty_seat,0,1,0,0.7727,376.03,318.86,119898.69
9020,empty_seat,0,1,0,0.7486,366.12,313.51,114781.15
9021,empty_seat,0,1,0,0.7172,362.26,308.4,111720.04
9022,empty_seat,0,1,0,0.732,355.84,314.91,112058.18
9023,empty_seat,0,1,0,0.7199,371.7,313.17,116405.43
9024,empty_seat,0,1,0,0.7376,369.67,311.09,115000.37
9025,empty_seat,0,1,0,0.7527,363.69,310.35,112868.78
9026,empty_seat,0,1,0,0.7405,368.09,314.26,115676.48
9027,empty_seat,0,1,0,0.7515,379.32,316.36,120004.52
9028,empty_seat,0,1,0,0.7614,364.13,313.77,114250.88
9029,empty_seat,0,1,0,0.6774,362.3,308.64,111822.09
9030,empty_seat,0,1,0,0.7361,361.77,309.09,111818.54
9031,empty_seat,0,1,0,0.662,376.06,313.03,117715.89
9032,empty_seat,0,1,0,0.7117,366.22,310.12,113572.97
9033,empty_seat,0,1,0,0.7505,371.78,312.82,116301.08
9034,empty_seat,0,1,0,0.7348,361.49,313.79,113433.01
9035,empty_seat,0,1,0,0.7225,364.21,311.64,113501.52
9036,empty_seat,0,1,0,0.6925,367.2,313.16,114991.37
9037,empty_seat,0,1,0,0.7114,368.38,311.22,114646.45
9038,empty_seat,0,1,0,0.7401,358.45,313.8,112483.87
9039,empty_seat,0,1,0,0.7321,367.3,312.71,114859.45
9040,empty_seat,0,1,0,0.6758,373.59,309.17,115501.09
9041,empty_seat,0,1,0,0.7265,368.57,314.44,115892.52
9042,empty_seat,0,1,0,0.6999,371.58,307.08,114103.37
9043,empty_seat,0,1,0,0.681,361.62,308.41,111524.72
9044,empty_seat,0,1,0,0.6824,371.17,312.18,115872.07
9045,empty_seat,0,1,0,0.7538,376.63,319.86,120467.89
9046,empty_seat,0,1,0,0.7493,376.59,317.45,119548.19
9047,empty_seat,0,1,0,0.709,370.39,313.61,116157.47
9048,empty_seat,0,1,0,0.7358,374.47,308.48,115519.02
9049,empty_seat,0,1,0,0.7396,375.68,312.77,117501.66
9050,empty_seat,0,1,0,0.7475,366.93,312.98,114839.99
9051,empty_seat,0,1,0,0.7146,374.8,312.25,117028.69
9052,empty_seat,0,1,0,0.6934,371.81,312.12,116051.05
9053,empty_seat,0,1,0,0.7115,376.19,311.3,117107.68
9054,empty_seat,0,1,0,0.7037,372.01,307.47,114381.1
9055,empty_seat,0,1,0,0.7165,379.22,313.79,118994.53
9056,empty_seat,0,1,0,0.6413,382.24,307.6,117579.13
9057,empty_seat,0,1,0,0.7188,366.66,312.44,114561.73
9058,empty_seat,0,1,0,0.745,364.19,312.45,113789.51
9059,empty_seat,0,1,0,0.729,376.51,313.7,118111.12
9060,empty_seat,0,1,0,0.7404,360.88,313.21,113029.19
9061,empty_seat,0,1,0,0.7385,360.09,305.1,109861.21
9062,empty_seat,0,1,0,0.7177,368.49,307.92,113464.07
9063,empty_seat,0,1,0,0.7533,372.82,315.13,117489.07
9064,empty_seat,0,1,0,0.7555,370.5,314.79,116629.19
9065,empty_seat,0,1,0,0.7134,382.88,314.52,120421.87
9066,empty_seat,0,1,0,0.7318,380.34,312.98,119037.67
9067,empty_seat,0,1,0,0.7253,368.23,311.61,114743.85
9068,empty_seat,0,1,0,0.7515,366.82,315.52,115736.55
9069,empty_seat,0,1,0,0.7017,374.57,312.64,117105.68
9070,empty_seat,0,1,0,0.7179,366.18,312.16,114306.67
9071,empty_seat,0,1,0,0.7003,377.32,309.35,116722.07
9072,empty_seat,0,1,0,0.7258,376.97,315.85,119066.28
9073,empty_seat,0,1,0,0.6908,379.59,311.9,118396.71
9074,empty_seat,0,1,0,0.6953,368.95,312.66,115355.19
9075,empty_seat,0,1,0,0.754,380.47,315.69,120110.97
9076,empty_seat,0,1,0,0.7121,374.91,313.87,117676.11
9077,empty_seat,0,1,0,0.7255,366.45,312.3,114440.79
9078,empty_seat,0,1,0,0.6977,370.11,312.16,115532.6
9079,empty_seat,0,1,0,0.7041,382.08,312.44,119375.92
9080,empty_seat,0,1,0,0.7041,373.58,312.86,116878.33
9081,empty_seat,0,1,0,0.7277,367.63,314.67,115681.64
9082,empty_seat,0,1,0,0.6952,377.43,312.16,117820.32
9083,empty_seat,0,1,0,0.7235,380.5,310.22,118040.83
9084,empty_seat,0,1,0,0.7319,369.19,314.77,116208.08
9085,empty_seat,0,1,0,0.7224,365.48,307.93,112544.68
9086,empty_seat,0,1,0,0.7132,379.23,312.21,118400.12
9087,empty_seat,0,1,0,0.7167,365,310.24,113239.1
9088,empty_seat,0,1,0,0.7404,360.78,310.07,111866.87
9089,empty_seat,0,1,0,0.7705,353.14,313.93,110859.8
9090,empty_seat,0,1,0,0.7301,359.22,308.59,110852.07
9091,empty_seat,0,1,0,0.6816,370.35,314.28,116394.89
9092,empty_seat,0,1,0,0.7362,369.02,314.48,116051.3
9093,empty_seat,0,1,0,0.7437,367.05,317.25,116446.42
9094,empty_seat,0,1,0,0.751,374.11,314.16,117532.46
9095,empty_seat,0,1,0,0.7409,374.69,314.36,117786.76
9096,empty_seat,0,1,0,0.7531,368.33,315.52,116214.13
9097,empty_seat,0,1,0,0.669,369.86,309.13,114332.52
9098,empty_seat,0,1,0,0.7414,367.08,312.89,114855.56
