sample_id,audio_class,confidence,sound_level,decision_method,baby_cry_probability,noise_probability,normal_probability
157,Baby_Cry,0.997878,0.051579,AST Model,0.997878,0.001961,0.000161
158,Baby_Cry,0.973964,0.016594,AST Model,0.973964,0.025831,0.000204
159,Baby_Cry,0.998875,0.148549,AST Model,0.998875,0.000891,0.000233
160,Baby_Cry,0.720576,0.011173,AST Model,0.720576,0.277742,0.001682
161,Baby_Cry,0.999196,0.128902,AST Model,0.999196,0.000778,2.60E-05
162,Noise,0.98973,0.098759,AST Model,0.004944,0.98973,0.005326
163,Noise,0.994884,0.056195,AST Model,0.004753,0.994884,0.000363
164,Normal,1,0.00359,RMS Threshold,0,0,1
165,Normal,1,0.003673,RMS Threshold,0,0,1
166,Normal,1,0.003596,RMS Threshold,0,0,1
167,Normal,1,0.003265,RMS Threshold,0,0,1
168,Normal,1,0.00342,RMS Threshold,0,0,1
169,Normal,1,0.003704,RMS Threshold,0,0,1
170,Normal,1,0.003596,RMS Threshold,0,0,1
171,Normal,1,0.003407,RMS Threshold,0,0,1
172,Baby_Cry,0.99946,0.17637,AST Model,0.99946,0.000382,0.000159
173,Baby_Cry,0.999318,0.109098,AST Model,0.999318,0.000552,0.00013
174,Baby_Cry,0.999084,0.063644,AST Model,0.999084,0.000877,3.90E-05
175,Baby_Cry,0.999668,0.177802,AST Model,0.999668,0.000212,0.00012
176,Baby_Cry,0.999492,0.149964,AST Model,0.999492,0.000463,4.50E-05
177,Baby_Cry,0.999556,0.127245,AST Model,0.999556,0.00038,6.30E-05
178,Baby_Cry,0.999514,0.13471,AST Model,0.999514,0.000412,7.40E-05
179,Baby_Cry,0.998063,0.084968,AST Model,0.998063,0.001821,0.000117
180,Baby_Cry,0.999502,0.084638,AST Model,0.999502,0.000447,5.00E-05
181,Baby_Cry,0.999757,0.092049,AST Model,0.999757,0.000166,7.60E-05
182,Baby_Cry,0.999166,0.055136,AST Model,0.999166,0.000763,7.10E-05
183,Baby_Cry,0.996089,0.091748,AST Model,0.996089,0.003798,0.000112
184,Baby_Cry,0.965512,0.025408,AST Model,0.965512,0.034091,0.000396
185,Baby_Cry,0.998136,0.106415,AST Model,0.998136,0.001773,9.20E-05
186,Baby_Cry,0.999447,0.135427,AST Model,0.999447,0.000447,0.000106
187,Baby_Cry,0.998939,0.07168,AST Model,0.998939,0.000987,7.50E-05
188,Baby_Cry,0.999738,0.142463,AST Model,0.999738,0.000162,0.0001
189,Baby_Cry,0.999637,0.058491,AST Model,0.999637,0.000306,5.70E-05
190,Baby_Cry,0.999387,0.11777,AST Model,0.999387,0.000542,7.10E-05
191,Baby_Cry,0.999668,0.120099,AST Model,0.999668,0.000281,5.10E-05
192,Normal,1,0.003557,RMS Threshold,0,0,1
193,Normal,1,0.00424,RMS Threshold,0,0,1
194,Baby_Cry,0.995008,0.030558,AST Model,0.995008,0.004729,0.000262
195,Normal,1,0.008643,RMS Threshold,0,0,1
196,Baby_Cry,0.95626,0.022441,AST Model,0.95626,0.042823,0.000917
197,Normal,1,1.00E-06,RMS Threshold,0,0,1
198,Normal,1,1.00E-06,RMS Threshold,0,0,1
199,Normal,1,1.00E-06,RMS Threshold,0,0,1
200,Normal,1,1.00E-06,RMS Threshold,0,0,1
201,Normal,1,1.00E-06,RMS Threshold,0,0,1
202,Normal,1,1.00E-06,RMS Threshold,0,0,1
203,Normal,1,1.00E-06,RMS Threshold,0,0,1
204,Normal,1,1.00E-06,RMS Threshold,0,0,1
205,Normal,1,1.00E-06,RMS Threshold,0,0,1
206,Normal,1,1.00E-06,RMS Threshold,0,0,1
207,Normal,1,1.00E-06,RMS Threshold,0,0,1
208,Normal,1,1.00E-06,RMS Threshold,0,0,1
209,Normal,1,1.00E-06,RMS Threshold,0,0,1
210,Normal,1,1.00E-06,RMS Threshold,0,0,1
211,Normal,1,1.00E-06,RMS Threshold,0,0,1
212,Normal,1,1.00E-06,RMS Threshold,0,0,1
213,Normal,1,1.00E-06,RMS Threshold,0,0,1
214,Normal,1,1.00E-06,RMS Threshold,0,0,1
215,Normal,1,1.00E-06,RMS Threshold,0,0,1
216,Normal,1,1.00E-06,RMS Threshold,0,0,1
217,Normal,1,1.00E-06,RMS Threshold,0,0,1
218,Normal,1,1.00E-06,RMS Threshold,0,0,1
219,Normal,1,1.00E-06,RMS Threshold,0,0,1
220,Normal,1,1.00E-06,RMS Threshold,0,0,1
221,Normal,1,1.00E-06,RMS Threshold,0,0,1
222,Normal,1,1.00E-06,RMS Threshold,0,0,1
223,Normal,1,0.006167,RMS Threshold,0,0,1
224,Baby_Cry,0.994275,0.026581,AST Model,0.994275,0.00499,0.000735
225,Normal,1,0.008549,RMS Threshold,0,0,1
226,Baby_Cry,0.798466,0.009537,AST Model,0.798466,0.198296,0.003239
227,Baby_Cry,0.977301,0.010794,AST Model,0.977301,0.021857,0.000842
228,Normal,1,0.00439,RMS Threshold,0,0,1
229,Normal,1,0.004601,RMS Threshold,0,0,1
230,Noise,0.794359,0.013536,AST Model,0.203454,0.794359,0.002187
231,Baby_Cry,0.979593,0.010998,AST Model,0.979593,0.019694,0.000714
232,Normal,1,0.003749,RMS Threshold,0,0,1
233,Normal,1,0.006489,RMS Threshold,0,0,1
234,Baby_Cry,0.55929,0.009876,AST Model,0.55929,0.439742,0.000968
235,Normal,1,0.007139,RMS Threshold,0,0,1
236,Normal,1,0.007386,RMS Threshold,0,0,1
237,Normal,1,0.003456,RMS Threshold,0,0,1
238,Normal,1,0.005006,RMS Threshold,0,0,1
239,Normal,1,0.004851,RMS Threshold,0,0,1
240,Baby_Cry,0.991075,0.010845,AST Model,0.991075,0.008303,0.000621
241,Normal,1,0.005032,RMS Threshold,0,0,1
242,Normal,1,0.004106,RMS Threshold,0,0,1
243,Normal,1,0.003578,RMS Threshold,0,0,1
244,Normal,1,0.003787,RMS Threshold,0,0,1
245,Noise,0.998217,0.071509,AST Model,0.00151,0.998217,0.000274
246,Noise,0.999864,0.013654,AST Model,9.00E-05,0.999864,4.60E-05
247,Normal,1,0.003286,RMS Threshold,0,0,1
248,Normal,1,0.006889,RMS Threshold,0,0,1
249,Normal,1,0.005148,RMS Threshold,0,0,1
250,Normal,1,0.004465,RMS Threshold,0,0,1
251,Normal,1,0.003066,RMS Threshold,0,0,1
252,Normal,1,0.002826,RMS Threshold,0,0,1
253,Normal,1,0.00439,RMS Threshold,0,0,1
254,Normal,1,0.004298,RMS Threshold,0,0,1
255,Normal,1,0.007305,RMS Threshold,0,0,1
256,Normal,1,0.008685,RMS Threshold,0,0,1
257,Noise,0.998979,0.012462,AST Model,0.000754,0.998979,0.000268
258,Normal,1,0.00372,RMS Threshold,0,0,1
259,Normal,1,0.005613,RMS Threshold,0,0,1
260,Noise,0.999512,0.009635,AST Model,0.000399,0.999512,8.90E-05
261,Noise,0.918137,0.06082,AST Model,0.080723,0.918137,0.00114
262,Noise,0.999828,0.035392,AST Model,0.000133,0.999828,3.90E-05
263,Noise,0.988731,0.110259,AST Model,0.009372,0.988731,0.001896
264,Baby_Cry,0.945723,0.090695,AST Model,0.945723,0.053559,0.000718
265,Noise,0.995506,0.051858,AST Model,0.00355,0.995506,0.000944
266,Baby_Cry,0.999299,0.093195,AST Model,0.999299,0.000604,9.70E-05
267,Baby_Cry,0.987387,0.029204,AST Model,0.987387,0.012336,0.000277
268,Baby_Cry,0.999719,0.066157,AST Model,0.999719,0.000241,4.00E-05
269,Baby_Cry,0.999729,0.149636,AST Model,0.999729,0.000217,5.40E-05
270,Baby_Cry,0.999546,0.132648,AST Model,0.999546,0.000364,9.00E-05
271,Baby_Cry,0.999743,0.132364,AST Model,0.999743,0.000178,7.80E-05
272,Baby_Cry,0.998854,0.133279,AST Model,0.998854,0.001056,9.00E-05
273,Baby_Cry,0.99956,0.113326,AST Model,0.99956,0.000352,8.80E-05
274,Baby_Cry,0.999786,0.112216,AST Model,0.999786,0.00012,9.40E-05
275,Baby_Cry,0.996793,0.023203,AST Model,0.996793,0.003113,9.30E-05
276,Baby_Cry,0.999471,0.123004,AST Model,0.999471,0.000361,0.000168
277,Baby_Cry,0.999132,0.097508,AST Model,0.999132,0.00081,5.80E-05
278,Baby_Cry,0.999608,0.129705,AST Model,0.999608,0.000332,6.10E-05
279,Baby_Cry,0.999291,0.075756,AST Model,0.999291,0.000624,8.50E-05
280,Baby_Cry,0.998639,0.044202,AST Model,0.998639,0.001266,9.50E-05
281,Baby_Cry,0.998815,0.057072,AST Model,0.998815,0.001055,0.000131
282,Normal,1,0.003891,RMS Threshold,0,0,1
283,Baby_Cry,0.997621,0.077435,AST Model,0.997621,0.00229,8.90E-05
284,Baby_Cry,0.998577,0.110804,AST Model,0.998577,0.001323,0.0001
285,Baby_Cry,0.999503,0.132071,AST Model,0.999503,0.000391,0.000106
286,Baby_Cry,0.958208,0.037208,AST Model,0.958208,0.041359,0.000433
287,Baby_Cry,0.999285,0.133708,AST Model,0.999285,0.000652,6.30E-05
288,Baby_Cry,0.828375,0.064941,AST Model,0.828375,0.170041,0.001584
289,Noise,0.998587,0.027619,AST Model,0.00124,0.998587,0.000173
290,Baby_Cry,0.827517,0.079047,AST Model,0.827517,0.17208,0.000402
291,Noise,0.999024,0.066715,AST Model,0.000662,0.999024,0.000314
292,Noise,0.800849,0.04478,AST Model,0.198712,0.800849,0.000439
293,Baby_Cry,0.994256,0.014006,AST Model,0.994256,0.005552,0.000192
294,Baby_Cry,0.848301,0.054601,AST Model,0.848301,0.150933,0.000766
295,Baby_Cry,0.997141,0.066712,AST Model,0.997141,0.00277,9.00E-05
296,Noise,0.984499,0.099278,AST Model,0.01529,0.984499,0.000211
297,Noise,0.849889,0.053992,AST Model,0.148226,0.849889,0.001885
298,Noise,0.982271,0.117457,AST Model,0.016477,0.982271,0.001252
299,Baby_Cry,0.859194,0.038241,AST Model,0.859194,0.140422,0.000384
300,Noise,0.891988,0.020374,AST Model,0.107632,0.891988,0.00038
301,Baby_Cry,0.999746,0.177936,AST Model,0.999746,0.000187,6.70E-05
302,Noise,0.998596,0.102334,AST Model,0.000982,0.998596,0.000422
303,Noise,0.992512,0.121664,AST Model,0.00665,0.992512,0.000839
304,Normal,1,0.003587,RMS Threshold,0,0,1
305,Normal,1,0.003311,RMS Threshold,0,0,1
306,Normal,1,0.003472,RMS Threshold,0,0,1
307,Noise,0.998671,0.098523,AST Model,0.001048,0.998671,0.00028
308,Noise,0.999024,0.089288,AST Model,0.000569,0.999024,0.000407
309,Noise,0.998044,0.109894,AST Model,0.001452,0.998044,0.000505
310,Noise,0.998956,0.083026,AST Model,0.000768,0.998956,0.000276
311,Noise,0.997054,0.089764,AST Model,0.001946,0.997054,0.001
312,Baby_Cry,0.999457,0.261506,AST Model,0.999457,0.000401,0.000141
313,Normal,1,0.002244,RMS Threshold,0,0,1
314,Baby_Cry,0.999841,0.103488,AST Model,0.999841,0.00013,2.90E-05
315,Baby_Cry,0.997416,0.07267,AST Model,0.997416,0.002447,0.000136
316,Normal,1,0.005552,RMS Threshold,0,0,1
317,Baby_Cry,0.998371,0.015425,AST Model,0.998371,0.001537,9.30E-05
318,Normal,1,0.00462,RMS Threshold,0,0,1
319,Normal,1,0.00328,RMS Threshold,0,0,1
320,Normal,1,0.00355,RMS Threshold,0,0,1
321,Baby_Cry,0.996858,0.012399,AST Model,0.996858,0.00279,0.000352
322,Normal,1,0.001709,RMS Threshold,0,0,1
323,Normal,1,0.008369,RMS Threshold,0,0,1
324,Normal,1,0.004333,RMS Threshold,0,0,1
325,Normal,1,0.004242,RMS Threshold,0,0,1
326,Normal,1,0.008909,RMS Threshold,0,0,1
327,Normal,1,0.008973,RMS Threshold,0,0,1
328,Normal,1,0.008028,RMS Threshold,0,0,1
329,Baby_Cry,0.77919,0.010543,AST Model,0.77919,0.219563,0.001247
330,Baby_Cry,0.753462,0.009958,AST Model,0.753462,0.246013,0.000525
331,Normal,1,0.004737,RMS Threshold,0,0,1
332,Normal,1,0.008228,RMS Threshold,0,0,1
333,Normal,1,0.006166,RMS Threshold,0,0,1
334,Normal,1,0.003076,RMS Threshold,0,0,1
335,Normal,1,0.002903,RMS Threshold,0,0,1
336,Normal,1,0.00293,RMS Threshold,0,0,1
337,Normal,1,0.006315,RMS Threshold,0,0,1
338,Normal,1,0.002297,RMS Threshold,0,0,1
339,Normal,1,0.004322,RMS Threshold,0,0,1
340,Normal,1,0.003585,RMS Threshold,0,0,1
341,Normal,1,0.005692,RMS Threshold,0,0,1
342,Normal,1,0.002452,RMS Threshold,0,0,1
343,Normal,1,0.003702,RMS Threshold,0,0,1
344,Normal,1,0.007634,RMS Threshold,0,0,1
345,Normal,1,0.004263,RMS Threshold,0,0,1
346,Normal,1,0.002613,RMS Threshold,0,0,1
347,Normal,1,0.003647,RMS Threshold,0,0,1
348,Normal,1,0.005537,RMS Threshold,0,0,1
349,Normal,1,0.003488,RMS Threshold,0,0,1
350,Normal,1,0.005362,RMS Threshold,0,0,1
351,Normal,1,0.006993,RMS Threshold,0,0,1
352,Normal,1,0.005579,RMS Threshold,0,0,1
353,Noise,0.944782,0.01546,AST Model,0.054355,0.944782,0.000863
354,Normal,1,0.002488,RMS Threshold,0,0,1
355,Normal,1,0.004683,RMS Threshold,0,0,1
356,Normal,1,0.005302,RMS Threshold,0,0,1
357,Normal,1,0.007377,RMS Threshold,0,0,1
358,Normal,1,0.005387,RMS Threshold,0,0,1
359,Normal,1,0.00734,RMS Threshold,0,0,1
360,Normal,1,0.004116,RMS Threshold,0,0,1
361,Normal,1,0.005514,RMS Threshold,0,0,1
362,Normal,1,0.004809,RMS Threshold,0,0,1
363,Normal,1,0.003132,RMS Threshold,0,0,1
364,Normal,1,0.004768,RMS Threshold,0,0,1
365,Normal,1,0.000967,RMS Threshold,0,0,1
366,Baby_Cry,0.999048,0.031139,AST Model,0.999048,0.000472,0.00048
367,Baby_Cry,0.886506,0.01724,AST Model,0.886506,0.112471,0.001023
368,Baby_Cry,0.998813,0.017967,AST Model,0.998813,0.00078,0.000407
369,Baby_Cry,0.583736,0.01227,AST Model,0.583736,0.415378,0.000886
370,Normal,1,0.001508,RMS Threshold,0,0,1
371,Baby_Cry,0.740814,0.010188,AST Model,0.740814,0.258228,0.000958
372,Normal,1,0.00766,RMS Threshold,0,0,1
373,Normal,1,0.001477,RMS Threshold,0,0,1
374,Noise,0.773413,0.011988,AST Model,0.225861,0.773413,0.000726
375,Normal,1,0.001678,RMS Threshold,0,0,1
376,Noise,0.75439,0.009521,AST Model,0.245098,0.75439,0.000512
377,Normal,1,0.005975,RMS Threshold,0,0,1
378,Normal,1,0.004821,RMS Threshold,0,0,1
379,Normal,1,0.003711,RMS Threshold,0,0,1
380,Baby_Cry,0.8668,0.017371,AST Model,0.8668,0.13242,0.000781
381,Normal,1,0.006454,RMS Threshold,0,0,1
382,Noise,0.592402,0.010031,AST Model,0.406981,0.592402,0.000617
383,Normal,1,0.008734,RMS Threshold,0,0,1
384,Baby_Cry,0.901109,0.020413,AST Model,0.901109,0.098101,0.00079
385,Normal,1,0.002376,RMS Threshold,0,0,1
386,Normal,1,0.003216,RMS Threshold,0,0,1
387,Baby_Cry,0.815964,0.011172,AST Model,0.815964,0.18224,0.001796
388,Normal,1,0.006556,RMS Threshold,0,0,1
389,Normal,1,0.00866,RMS Threshold,0,0,1
390,Normal,1,0.002668,RMS Threshold,0,0,1
391,Normal,1,0.005512,RMS Threshold,0,0,1
392,Normal,1,0.006862,RMS Threshold,0,0,1
393,Baby_Cry,0.964781,0.01603,AST Model,0.964781,0.034176,0.001043
394,Normal,1,0.004586,RMS Threshold,0,0,1
395,Normal,1,0.003049,RMS Threshold,0,0,1
396,Baby_Cry,0.968683,0.009594,AST Model,0.968683,0.030316,0.001001
397,Normal,1,0.003703,RMS Threshold,0,0,1
398,Noise,0.627022,0.009031,AST Model,0.369836,0.627022,0.003142
399,Normal,1,0.005674,RMS Threshold,0,0,1
400,Baby_Cry,0.999456,0.042082,AST Model,0.999456,0.000438,0.000106
401,Normal,1,0.005883,RMS Threshold,0,0,1
402,Baby_Cry,0.954289,0.009243,AST Model,0.954289,0.045331,0.00038
403,Baby_Cry,0.997892,0.022188,AST Model,0.997892,0.001835,0.000273
404,Baby_Cry,0.506276,0.011563,AST Model,0.506276,0.492794,0.00093
405,Baby_Cry,0.997989,0.020045,AST Model,0.997989,0.001818,0.000192
406,Noise,0.922991,0.011723,AST Model,0.076594,0.922991,0.000416
407,Baby_Cry,0.867385,0.02089,AST Model,0.867385,0.131194,0.00142
408,Baby_Cry,0.906488,0.01207,AST Model,0.906488,0.092877,0.000635
409,Baby_Cry,0.987203,0.025352,AST Model,0.987203,0.012481,0.000316
410,Normal,1,0.004476,RMS Threshold,0,0,1
411,Normal,1,0.000977,RMS Threshold,0,0,1
412,Baby_Cry,0.998074,0.013576,AST Model,0.998074,0.00179,0.000135
413,Normal,1,0.005974,RMS Threshold,0,0,1
