sample_id,detected_class,baby_detected,empty_seat_detected,yolo_confidence,lstm_behavior,behavior_confidence,audio_class,audio_confidence,cry_probability,noise_probability,normal_probability,risk_label,risk_confidence,shap_feature_1,shap_value_1,shap_direction_1,shap_feature_2,shap_value_2,shap_direction_2,shap_feature_3,shap_value_3,shap_direction_3
60,Baby,1,0,0.466884,Sudden Movement,0.95,Noise,0.99886,0.000531,0.99886,0.000609,High Risk,3.1e-05,Sudden Movement,Baby + Sudden Movement + Noise,YOLO — Baby,-3.171033,pushes toward another risk class,Behaviour — Sudden Movement,0.597426,supports this risk prediction,AST — Noise,-0.745547,pushes toward another risk class
62,Baby,1,0,0.7353,Sudden Movement,0.95,Noise,0.99886,0.000531,0.99886,0.000609,High Risk,4.6e-05,Sudden Movement,Baby + Sudden Movement + Noise,YOLO — Baby,-3.156468,pushes toward another risk class,Behaviour — Sudden Movement,0.617685,supports this risk prediction,AST — Noise,-0.83735,pushes toward another risk class
63,Baby,1,0,0.820452,Sudden Movement,0.95,Noise,0.99886,0.000531,0.99886,0.000609,High Risk,0.00015,Sudden Movement,Baby + Sudden Movement + Noise,YOLO — Baby,-3.347746,pushes toward another risk class,Behaviour — Sudden Movement,0.580096,supports this risk prediction,AST — Noise,-0.849959,pushes toward another risk class
64,Baby,1,0,0.820452,Sudden Movement,0.95,Noise,0.99886,0.000531,0.99886,0.000609,High Risk,0.114036,Sudden Movement,Baby + Sudden Movement + Noise,YOLO — Baby,-0.070843,pushes toward another risk class,Behaviour — Sudden Movement,0.856874,supports this risk prediction,AST — Noise,-1.213819,pushes toward another risk class
65,None,0,0,0.0,Sudden Movement,0.95,Noise,0.99886,0.000531,0.99886,0.000609,No Baby,0.794615,No Baby Detected,No baby is currently detected.,YOLO — No Detection,5.108,supports this risk prediction,Behaviour — Sudden Movement,0.076274,supports this risk prediction,AST — Noise,0.046805,supports this risk prediction
66,None,0,0,0.0,Sudden Movement,0.95,Noise,0.99886,0.000531,0.99886,0.000609,No Baby,0.999622,No Baby Detected,No baby is currently detected.,YOLO — No Detection,7.856893,supports this risk prediction,Behaviour — Sudden Movement,0.004739,supports this risk prediction,AST — Noise,0.006021,supports this risk prediction
67,None,0,0,0.0,Sudden Movement,0.95,Noise,0.99886,0.000531,0.99886,0.000609,No Baby,0.999634,No Baby Detected,No baby is currently detected.,YOLO — No Detection,7.861668,supports this risk prediction,Behaviour — Sudden Movement,-0.001587,pushes toward another risk class,AST — Noise,0.007571,supports this risk prediction
68,None,0,0,0.0,Sudden Movement,0.95,Noise,0.99886,0.000531,0.99886,0.000609,No Baby,0.999636,No Baby Detected,No baby is currently detected.,YOLO — No Detection,7.861668,supports this risk prediction,Behaviour — Sudden Movement,-0.001587,pushes toward another risk class,AST — Noise,0.007571,supports this risk prediction
70,Baby,1,0,0.57945,Sudden Movement,0.95,Noise,0.999092,0.000718,0.999092,0.00019,High Risk,0.241952,Sudden Movement,Baby + Sudden Movement + Noise,YOLO — Baby,0.132929,supports this risk prediction,Behaviour — Sudden Movement,0.612599,supports this risk prediction,AST — Noise,-0.886946,pushes toward another risk class
71,Baby,1,0,0.625541,Sudden Movement,0.95,Noise,0.999092,0.000718,0.999092,0.00019,High Risk,0.294436,Sudden Movement,Baby + Sudden Movement + Noise,YOLO — Baby,-0.017581,pushes toward another risk class,Behaviour — Sudden Movement,0.590829,supports this risk prediction,AST — Noise,-0.77059,pushes toward another risk class
